OID_,Number,Name,Latitude,Longitude,District,Public_,Total_docks,shape_wkt,POINT_X,POINT_Y
3,A32019,175 N Harvard St,42.36447457,-71.12840831,Boston,Yes,17,POINT (-71.128408309999941 42.364474570000027),-71.12840830999994,42.36447457000003
253,B32017,Dudley Square - Bolling Building,42.32984299,-71.08386572,Boston,Yes,0,POINT (-71.083865719999949 42.329842990000031),-71.08386571999995,42.32984299000003
254,C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Boston,Yes,15,POINT (-71.075353999999948 42.325333000000057),-71.07535399999995,42.32533300000006
255,A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,Boston,Yes,16,POINT (-71.039430999999979 42.369536000000039),-71.03943099999998,42.36953600000004
258,A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Boston,Yes,19,POINT (-71.068606999999986 42.378965000000051),-71.06860699999999,42.37896500000005
260,E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,Boston,Yes,15,POINT (-71.098633999999947 42.31569200000007),-71.09863399999995,42.31569200000007
264,A32000,Fan Pier,42.35339051,-71.0445714,Boston,Yes,15,POINT (-71.044571399999938 42.353390510000054),-71.04457139999994,42.35339051000005
265,C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Boston,Yes,23,POINT (-71.024949999999933 42.33340000000004),-71.02494999999993,42.33340000000004
266,C32041,Fields Corner T Stop,42.29963349,-71.06068976,Boston,Yes,15,POINT (-71.060689759999946 42.299633490000076),-71.06068975999995,42.29963349000008
267,B32064,Flat 9 at Whittier,42.33420351,-71.08767617,Boston,Yes,15,POINT (-71.087676169999952 42.334203510000066),-71.08767616999995,42.33420351000007
269,E32010,Forest Hills,42.300923,-71.114249,Boston,Yes,40,POINT (-71.114248999999973 42.300923000000068),-71.11424899999997,42.300923000000076
252,C32066,Dorchester Ave at King St,42.291718,-71.062571,Boston,Yes,15,POINT (-71.062570999999934 42.29171800000006),-71.06257099999993,42.29171800000007
271,B32062,Forsyth St at Huntington Ave,42.339202,-71.090511,Boston,Yes,15,POINT (-71.090510999999935 42.339202000000057),-71.09051099999994,42.33920200000006
274,C32111,Four Corners/Geneva T Stop,42.30321535,-71.07820988,Boston,Yes,15,POINT (-71.078209879999974 42.303215350000073),-71.07820987999997,42.30321535000007
275,C32027,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,Boston,Yes,15,POINT (-71.092224999999985 42.309796000000063),-71.09222499999998,42.30979600000006
276,C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Boston,Yes,14,POINT (-71.085346999999956 42.303469000000064),-71.08534699999996,42.303469000000064
280,C32040,Gallivan Blvd at Adams St,42.28297568,-71.05466698,Boston,Yes,15,POINT (-71.054666979999979 42.28297568000005),-71.05466697999998,42.28297568000005
281,C32090,Geiger Gibson Community Health Center,42.31886468,-71.04536798,Boston,Yes,19,POINT (-71.04536797999998 42.318864680000047),-71.04536797999998,42.31886468000005
286,A32049,Gove St at Orleans St,42.37057753,-71.0355854,Boston,Yes,19,POINT (-71.035585399999945 42.370577530000048),-71.03558539999995,42.37057753000005
287,B32032,Government Center - Cambridge St at Court St,42.3598254,-71.05979576,Boston,Yes,35,POINT (-71.059795759999986 42.359825400000034),-71.05979575999999,42.359825400000034
290,E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Boston,Yes,23,POINT (-71.107340999999963 42.310579000000075),-71.10734099999996,42.31057900000008
291,B32028,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Boston,Yes,15,POINT (-71.080951999999968 42.307910000000049),-71.08095199999997,42.30791000000005
297,D32043,Harrison Ave at Bennet St,42.3494261,-71.0620996,Boston,Yes,17,POINT (-71.062099599999954 42.349426100000073),-71.06209959999995,42.34942610000007
273,C32037,Four Corners - 157 Washington St,42.30412793,-71.07929528,Boston,Yes,11,POINT (-71.07929527999994 42.30412793000005),-71.07929527999994,42.30412793000005
251,C32009,Dorchester Ave at Gillette Park,42.34404051,-71.05737627,Boston,Yes,15,POINT (-71.057376269999963 42.34404051000007),-71.05737626999996,42.34404051000007
248,B32037,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,Boston,Yes,19,POINT (-71.097282099999973 42.349243770000044),-71.09728209999997,42.34924377000005
247,A32051,Day Sq,42.379295,-71.027733,Boston,Yes,16,POINT (-71.027732999999955 42.37929500000007),-71.02773299999996,42.37929500000007
207,B32059,Whittier St Health Center,42.33286288,-71.09218862,Boston,Yes,19,POINT (-71.092188619999945 42.33286288000005),-71.09218861999994,42.33286288000005
208,D32040,Williams St at Washington St,42.306539,-71.107669,Boston,Yes,23,POINT (-71.107668999999987 42.306539000000043),-71.10766899999999,42.30653900000004
210,B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,Boston,Yes,19,POINT (-71.085823769999934 42.343665820000069),-71.08582376999993,42.34366582000007
212,C32099,Circuit Drive at American Legion Hwy,42.29704126,-71.09171927,Boston,Yes,19,POINT (-71.091719269999942 42.297041260000071),-71.09171926999994,42.29704126000007
214,C32104,Cleary Sq,42.2556,-71.12444,Boston,Yes,16,POINT (-71.124439999999936 42.255600000000072),-71.12443999999994,42.25560000000007
215,B32035,Cleveland Circle,42.33554308,-71.1506152,Boston,Yes,15,POINT (-71.150615199999947 42.335543080000036),-71.15061519999995,42.33554308000004
216,D32057,Clinton St at North St,42.36070284,-71.05524927,Boston,Yes,18,POINT (-71.055249269999933 42.360702840000044),-71.05524926999993,42.360702840000044
217,C32055,Codman Square Library,42.2873611,-71.071111,Boston,Yes,17,POINT (-71.071110999999974 42.287361100000055),-71.07111099999997,42.287361100000055
218,B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,Boston,Yes,14,POINT (-71.100618839999981 42.340115120000064),-71.10061883999998,42.340115120000064
219,B32029,Columbia Rd at Ceylon St,42.309572,-71.0729,Boston,Yes,15,POINT (-71.072899999999947 42.30957200000006),-71.07289999999995,42.30957200000007
220,C32052,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093,Boston,Yes,19,POINT (-71.050600929999973 42.33023071000008),-71.05060092999997,42.33023071000008
221,C32077,Columbus Ave at W. Canton St,42.34474225,-71.07648162,Boston,Yes,19,POINT (-71.076481619999981 42.344742250000024),-71.07648161999998,42.34474225000002
222,A32002,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,Boston,Yes,15,POINT (-71.119034889999966 42.35169202000003),-71.11903488999997,42.35169202000003
224,D32033,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,Boston,Yes,19,POINT (-71.151688059999969 42.340246450000052),-71.15168805999997,42.340246450000045
225,A32017,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,Boston,Yes,15,POINT (-71.132753029999947 42.349224690000028),-71.13275302999995,42.34922469000002
226,D32034,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,Boston,Yes,15,POINT (-71.139972169999965 42.348358630000064),-71.13997216999996,42.348358630000064
231,D32009,Congress St at Boston City Hall,42.36041775,-71.05752244,Boston,Yes,23,POINT (-71.057522439999957 42.360417750000067),-71.05752243999996,42.360417750000074
232,C32032,Congress St at Northern Ave,42.3481,-71.03764,Boston,Yes,15,POINT (-71.037639999999953 42.348100000000045),-71.03763999999995,42.348100000000045
237,D32005,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,Boston,Yes,28,POINT (-71.077392069999974 42.349928280000029),-71.07739206999997,42.34992828000002
238,D32010,Cross St at Hanover St,42.362811,-71.056067,Boston,Yes,19,POINT (-71.056066999999985 42.362811000000079),-71.056067,42.36281100000008
239,Z32999,Cummins Highway at Blue Hill Ave T Stop,42.26998847,-71.09746183,Boston,Yes,14,POINT (-71.097461829999986 42.269988470000044),-71.09746182999999,42.26998847000005
240,E32001,Curtis Hall - South St at Centre St,42.309054,-71.11543,Boston,Yes,15,POINT (-71.115429999999947 42.30905400000006),-71.11542999999995,42.30905400000007
